Feature,Importance
fg10,3068
viwvn,2865
degm10l,2793
u100,2657
ishf,2649
flsr,2634
ws200,2581
vimd,2498
mld,2439
u200,2435
u10n,2406
i10fg,2333
u10,2325
quarter_hour,2286
ws100,2249
hwbt1,2247
ewss,2244
hwbt0,2222
ws10,2216
sund,2070
lspf,1954
gwd,1892
nsss,1840
v200,1832
v100,1825
quarter_hour_sin,1778
v10n,1742
v10,1644
bld,1637
tcw,1594
d2m,1322
t2m,1314
dsrp,1272
ttr,1227
tcwv,1212
mn2t,1171
str,1166
fdir,1165
mx2t,1163
sshf,1154
ttrc,1152
cdir,1075
slhf,1049
strd,945
quarter_hour_cos,912
strc,907
par,863
parcs,817
tsr,800
uvb,778
tisr,775
ssrd,751
ssrc,746
hour_sin,725
ssr,711
ssrdc,694
lblt,679
tsrc,671
sst,660
hour,659
day,635
skt,617
strdc,541
day_sin,470
day_cos,436
hour_cos,375
day_in_week,294
stl1,268
day_in_week_cos,243
day_in_week_sin,239
lmlt,220
stl2,211
stl4,190
stl3,174
ltlt,89
