Feature,Importance
trpp,2338
lcc,2089
blh,1999
mcc,1856
deg0l,1827
mudlp,1820
fg10,1819
kx,1818
capes,1789
viwvn,1725
p3020,1686
flsr,1534
degm10l,1532
quarter_hour,1496
mld,1494
totalx,1478
vimd,1412
ws200,1398
u100,1398
viwve,1394
cape,1390
ewss,1351
ishf,1348
u10,1315
u10n,1312
gwd,1309
ws100,1305
u200,1285
ws10,1266
i10fg,1261
msl,1252
hwbt1,1232
sund,1220
hwbt0,1198
lspf,1184
hcc,1172
mlcape100,1151
bld,1146
quarter_hour_sin,1084
mlcape50,1081
nsss,1065
mucape,1007
v10,1007
dsrp,995
v100,987
v200,897
fdir,877
v10n,874
str,841
cdir,830
tcw,799
ttr,757
sp,757
ttrc,751
slhf,740
sshf,723
parcs,697
tcwv,677
ssrdc,658
t2m,654
d2m,646
par,634
uvb,625
tsr,608
quarter_hour_cos,607
hour_sin,601
mn2t,599
strc,598
ssrd,583
strd,582
ssrc,565
hour,562
tisr,561
mx2t,547
tsrc,481
ssr,453
day,438
lblt,416
day_sin,382
sst,350
skt,342
strdc,323
day_cos,289
hour_cos,238
day_in_week,220
day_in_week_cos,177
day_in_week_sin,175
lmlt,172
stl1,164
stl2,142
stl3,128
stl4,119
ltlt,71
