Feature,Importance
lgws,1455
mgws,1341
altitude,892
trpp,847
flsr,845
blh,803
mudlp,799
azimuth,796
deg0l,765
u200,741
gwd,687
tcrw,659
viwvn,647
kx,636
mcc,633
bld,602
vimd,602
ws200,601
degm10l,600
viwve,587
totalx,584
lcc,582
mld,581
capes,578
v10n,565
tcc,543
sp,541
p3020,527
sund,519
tcsw,517
hwbt1,516
lspf,514
litoti,496
ewss,492
von,491
dsrp,490
str,481
uoe,479
tisr,464
cape,463
sshf,461
ilspf,434
nsss,426
hcc,406
ttrc,403
mlcape100,399
fdir,397
slhf,397
tcwv,374
d2m,369
mlcape50,361
ttr,358
quarter_hour,340
quarter_hour_sin,262
day,212
day_sin,196
hour_sin,185
hour,150
day_in_week,133
day_cos,132
quarter_hour_cos,100
day_in_week_cos,96
hour_cos,95
day_in_week_sin,85
