Feature,Importance
lgws,177
lgws_lag_2,175
lgws_lag_8,165
lgws_lag_4,159
lgws_lag_28,159
mgws_lag_27,171
mgws,162
mgws_lag_33,159
mgws_lag_3,144
mgws_lag_16,142
gwd_lag_33,106
gwd_lag_35,102
gwd_lag_10,102
gwd_lag_16,100
gwd,97
bld,96
bld_lag_33,85
bld_lag_6,79
bld_lag_21,79
bld_lag_13,79
azimuth_lag_34,101
azimuth_lag_35,89
azimuth_lag_33,85
azimuth_lag_31,54
azimuth_lag_29,46
fdir,84
fdir_lag_21,76
fdir_lag_35,70
fdir_lag_34,67
fdir_lag_29,62
tisr,92
tisr_lag_35,72
tisr_lag_1,64
tisr_lag_2,63
tisr_lag_5,61
dsrp_lag_10,70
dsrp_lag_35,68
dsrp_lag_3,68
dsrp_lag_1,66
dsrp_lag_20,62
trpp_lag_34,83
trpp,71
trpp_lag_26,57
trpp_lag_21,56
trpp_lag_27,55
litoti,68
litoti_lag_35,64
litoti_lag_24,62
litoti_lag_10,61
litoti_lag_5,55
day,56
day_cos,27
day_sin,56
day_sin,56
flsr,107
flsr_lag_1,38
flsr_lag_4,33
flsr_lag_10,30
flsr_lag_2,27
tcsw_lag_24,53
tcsw_lag_35,46
tcsw_lag_1,46
tcsw_lag_27,45
tcsw_lag_16,44
mudlp_lag_35,51
mudlp_lag_1,48
mudlp,47
mudlp_lag_22,45
mudlp_lag_12,42
tcrw_lag_34,54
tcrw,46
tcrw_lag_29,45
tcrw_lag_1,43
tcrw_lag_25,43
lcc,49
lcc_lag_20,47
lcc_lag_35,41
lcc_lag_1,38
lcc_lag_33,37
blh,62
blh_lag_35,39
blh_lag_3,37
blh_lag_25,36
blh_lag_2,35
altitude,52
altitude_lag_35,48
altitude_lag_28,34
altitude_lag_34,34
altitude_lag_11,32
sshf_lag_4,44
sshf_lag_3,40
sshf,39
sshf_lag_29,38
sshf_lag_25,37
tcc,44
tcc_lag_15,39
tcc_lag_28,37
tcc_lag_14,36
tcc_lag_35,36
ws200,68
ws200_lag_13,34
ws200_lag_35,30
ws200_lag_21,30
ws200_lag_1,30
u200,64
u200_lag_35,33
u200_lag_6,32
u200_lag_5,30
u200_lag_3,30
mcc_lag_19,42
mcc,41
mcc_lag_1,41
mcc_lag_15,33
mcc_lag_35,30
deg0l_lag_35,40
deg0l,39
deg0l_lag_1,32
deg0l_lag_11,30
deg0l_lag_32,30
p3020_lag_35,42
p3020,32
p3020_lag_20,30
p3020_lag_33,29
p3020_lag_21,28
viwvn,43
viwvn_lag_1,37
viwvn_lag_4,35
viwvn_lag_3,23
viwvn_lag_10,23
mld_lag_35,33
mld,33
mld_lag_8,31
mld_lag_16,31
mld_lag_32,31
ilspf,39
ilspf_lag_24,30
ilspf_lag_35,30
ilspf_lag_11,28
ilspf_lag_32,26
str_lag_10,33
str,31
str_lag_8,31
str_lag_33,29
str_lag_20,29
kx,43
kx_lag_34,28
kx_lag_32,28
kx_lag_1,28
kx_lag_17,25
mlcape50_lag_35,33
mlcape50_lag_34,32
mlcape50_lag_32,31
mlcape50_lag_29,24
mlcape50_lag_25,24
degm10l,36
degm10l_lag_35,31
degm10l_lag_1,29
degm10l_lag_30,24
degm10l_lag_2,23
sund,47
sund_lag_10,28
sund_lag_35,23
sund_lag_2,22
sund_lag_1,22
capes,33
capes_lag_23,27
capes_lag_5,26
capes_lag_21,26
capes_lag_31,25
day_cos,27
vimd,32
vimd_lag_2,31
vimd_lag_27,24
vimd_lag_14,24
vimd_lag_1,24
mlcape100,32
mlcape100_lag_14,31
mlcape100_lag_4,24
mlcape100_lag_6,23
mlcape100_lag_35,22
cape_lag_2,30
cape_lag_1,28
cape_lag_35,26
cape,25
cape_lag_16,22
capes,33
capes_lag_23,27
capes_lag_5,26
capes_lag_21,26
capes_lag_31,25
totalx_lag_35,36
totalx,26
totalx_lag_5,25
totalx_lag_6,21
totalx_lag_4,21
ttr,31
ttr_lag_14,24
ttr_lag_1,24
