exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,test_rmse_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,test_rmse_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,val_rmse_for_best_test,test_epoch_for_best_test,seq_len,lr,d,hid_d,last_d,time_d,e_layers,comb_type,bs
2024-07-17 04:57,3902.1082,-3167.121826171875,2829.3777,3711.9749,13,2829.3777,-2911.126708984375,3902.1082,3711.9749,13,296.4094,1.0032987594604492,257.57242,413.87936,12,16,0.1,32,128,512,64,12,add,1100
2024-07-17 04:12,103.35466,58.004913330078125,376.41534,193.03676,32,384.05832,-97.08325958251952,106.79825,197.12848,28,197.12848,36.03120803833008,106.79825,384.05832,28,8,0.05,32,64,128,32,8,add,1100
2024-07-17 00:42,255.11996,-84.5700454711914,428.44302,298.18326,10,414.10278,-242.7459716796875,306.7301,331.26437,6,280.9376,-41.19603729248047,244.205,393.45172,9,16,0.08,32,64,64,32,2,add,1100
2024-07-16 20:26,257.8208,-90.6330795288086,492.86246,319.11612,13,451.33795,-124.89047241210938,227.90138,287.4321,8,319.11612,-99.0138931274414,257.8208,492.86246,13,16,0.08,32,64,32,32,4,add,1100
2024-07-17 04:54,580.43427,-374.2207946777344,569.45996,578.0133,10,569.45996,-409.6324462890625,580.43427,578.0133,10,578.0133,-254.59312438964844,580.43427,569.45996,10,16,0.1,32,128,512,64,6,add,1100
2024-07-17 01:37,469.55145,-329.4326171875,527.4931,481.53583,8,527.4931,-447.4768981933594,469.55145,481.53583,8,481.53583,-236.5384979248047,469.55145,527.4931,8,24,0.18,32,128,256,64,2,add,1100
2024-07-17 04:37,760.8684,2.753418445587158,681.2073,745.84784,11,681.2073,11.982843399047852,760.8684,745.84784,11,745.84784,4.886415004730225,760.8684,681.2073,11,8,0.2,32,128,512,64,12,add,1100
2024-07-16 19:43,310.2954,-21.040430068969727,465.9975,347.81027,13,410.51828,-103.40560150146484,244.83685,286.64868,9,347.81027,-5.619331359863281,310.2954,465.9975,13,8,0.1,32,64,32,32,2,add,1100
2024-07-17 03:07,266.6559,-125.05810546875,436.94894,308.4588,13,425.17227,-183.283447265625,217.90717,272.6512,10,286.92123,10.618289947509766,199.9706,501.02496,11,16,0.15,32,64,64,64,4,add,1100
2024-07-17 07:58,174.09512,43.15729904174805,415.7702,242.49512,24,450.69025,-131.21621704101562,153.23198,244.01251,21,242.49512,27.18518447875977,174.09512,415.7702,24,24,0.08,32,256,32,32,6,add,1100
2024-07-16 21:35,1454.3834,-606.02392578125,1320.1233,1427.8286,9,1320.1233,-1079.8138427734375,1454.3834,1427.8286,9,1427.8286,-560.872314453125,1454.3834,1320.1233,9,24,0.2,32,128,128,64,12,add,1100
