exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,val_custom_acc_for_best_train,test_rmse_for_best_train,test_custom_acc_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,train_custom_acc_for_best_val,test_rmse_for_best_val,test_custom_acc_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,train_custom_acc_for_best_test,val_rmse_for_best_test,val_custom_acc_for_best_test,test_epoch_for_best_test,skip_mode,True,False,16,0.005,48,96,512,32,4,12,13,128,11dropout,norm_type,num_heads,bs,0.001,64,8,6,9,5dropout,256,9dropout,conv,mha,mlp,use_pos,seq_len,lr,d,hid_d,last_d,tok_d,time_d,pos_d,e_layers,tok_conv_k,conv_out_d,feat_conv_k,dropout
2024-08-17 22:58,81632.69,3.868432521820069,92150.57,-15.325079917907717,85904.75,-11.458362579345703,18,89391.27,-3.5987555980682373,82058.695,13.08973789215088,81992.93,0.6949560046195984,1,81992.93,0.6949560046195984,82058.695,13.08973789215088,89391.27,-3.5987555980682373,1,conv_mlpconv,mlp,seq_len,lr,d,hid_d,last_d,tok_d,e_layers,pos_d,tok_conv_k,conv_out_d,feat_conv_k,0.2,batch,32,1024,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-17 23:10,6790.906,92.98887634277344,73402.13,30.767248153686523,82024.41,7.206738471984863,49,73159.73,30.58698463439941,8619.062,91.54476928710938,81708.16,6.80443286895752,36,73483.87,19.00208854675293,37027.105,63.76620101928711,74900.914,33.160343170166016,6,conv_mlpconv,seq_len,use_pos,lr,,,hid_d,tok_d,,e_layers,,,feat_conv_k,0.2,batch,4,1024,d,time_d,pos_d,tok_conv_k,conv_out_d,,,,,,,,,,,,,,,,,,,,
2024-08-17 23:27,17576.49,81.95494842529297,82294.016,42.14057540893555,72102.88,28.60101127624512,17,78062.695,47.70515441894531,38489.12,59.56830978393555,78211.17,39.784610748291016,5,72469.79,25.913789749145508,21536.83,78.5835952758789,101035.51,30.54891967773437,18,fullconv,seq_len,use_pos,lr,d,,last_d,tok_d,e_layers,,,conv_out_d,,,batch,4,1024,,feat_conv_k,,tok_conv_k,,0.1,,,,,,,,,,,,,,,,,,,
2024-08-17 23:48,79676.88,20.703170776367188,88917.48,1.887727975845337,82706.75,12.709128379821776,10,89045.07,-2.1163432598114014,82079.38,14.483125686645508,81570.1,2.34424376487732,1,81570.1,2.34424376487732,82079.38,14.483125686645508,89045.07,-2.1163432598114014,1,conv_mlpconv,seq_len,use_pos,lr,d,last_d,time_d,tok_d,e_layers,,tok_conv_k,conv_out_d,feat_conv_k,0.1,batch,16,1024,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08-17 23:41,82057.68,12.853650093078612,89463.71,-3.89868688583374,82080.95,0.3616439402103424,2,89390.95,-3.597423553466797,82058.7,13.120101928710938,81992.54,0.6964332461357117,1,81992.54,0.6964332461357117,82058.7,13.120101928710938,89390.95,-3.597423553466797,1,conv_mlpconv,seq_len,use_pos,lr,,hid_d,,,pos_d,e_layers,tok_conv_k,,tok_d,0.1,batch,16,1024,d,last_d,,,conv_out_d,,feat_conv_k,,,,,,,,,,,,,,,,,,
2024-08-17 23:02,11030.702,88.44577026367188,82925.734,45.804080963134766,77130.99,34.82872009277344,50,80766.984,46.22831726074219,12046.735,87.06785583496094,76683.84,34.957069396972656,41,76469.25,35.90589141845703,11973.157,87.55888366699219,82855.984,45.82889938354492,39,conv_mlpconv,seq_len,use_pos,time_d,d,,hid_d,tok_d,pos_d,e_layers,,,,0.2,batch,16,1024,,feat_conv_k,tok_conv_k,,conv_out_d,,,,,,,,,,,,,,,,,,,,
2024-08-17 23:29,8079.5894,91.41594696044922,75999.59,42.44774627685547,75439.76,26.93547248840332,43,73940.31,45.48207473754883,18733.818,81.24903106689453,80057.54,27.94513702392578,18,77862.44,31.05409049987793,16666.969,82.95589447021484,73819.7,46.285037994384766,23,conv_mlpconv,seq_len,use_pos,pos_d,d,last_d,time_d,,,,,conv_out_d,feat_conv_k,,batch,32,1024,,,tok_conv_k,,,,tok_d,0.2,,,,,,,,,,,,,,,,,
2024-08-17 22:54,11402.963,87.8930892944336,70672.484,50.001731872558594,80477.164,30.04931640625,27,69308.3,48.29214859008789,12455.706,87.83324432373047,80551.59,31.97663116455078,25,72470.7,30.03350067138672,43210.227,62.10182571411133,95035.164,40.19628143310547,5,fullconv,use_pos,seq_len,lr,,last_d,time_d,tok_d,pos_d,,,conv_out_d,,,batch,32,1024,d,feat_conv_k,tok_conv_k,,,0.1,,,,,,,,,,,,,,,,,,,
2024-08-17 23:32,8240.412,91.447021484375,77074.69,42.49324798583984,79390.266,25.537525177001957,48,76525.695,44.63308334350586,10915.706,88.86176300048828,79519.18,25.11221694946289,33,74891.88,40.97502136230469,55648.47,55.35690689086914,82346.49,40.21378707885742,6,conv_mlpconv,seq_len,use_pos,time_d,,last_d,,tok_d,,pos_d,tok_conv_k,,,,batch,4,1024,d,feat_conv_k,e_layers,,conv_out_d,,,0.1,,,,,,,,,,,,,,,,,
2024-08-17 22:53,11887.271,86.81009674072266,72842.35,47.06857299804688,77432.77,27.240854263305664,28,72184.305,46.61035919189453,18444.021,79.11750030517578,79881.63,16.993898391723633,19,77000.555,30.20583915710449,15071.64,83.83692169189453,74331.9,49.5719108581543,23,fullconv,seq_len,mlp,lr,d,,last_d,,e_layers,pos_d,,,feat_conv_k,,batch,4,1024,,time_d,,tok_conv_k,conv_out_d,,tok_d,0.1,,,,,,,,,,,,,,,,,
