exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,val_custom_acc_for_best_train,test_rmse_for_best_train,test_custom_acc_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,train_custom_acc_for_best_val,test_rmse_for_best_val,test_custom_acc_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,train_custom_acc_for_best_test,val_rmse_for_best_test,val_custom_acc_for_best_test,test_epoch_for_best_test,skip_mode,conv,mha,mlp,use_pos,seq_len,lr,d,hid_d,last_d,tok_d,time_d,pos_d,e_layers,tok_conv_k,conv_out_d,feat_conv_k,dropout,norm_type,num_heads,bs
2024-08-18 11:10,10634.353,89.29173278808594,73755.75,40.87128829956055,74044.33,35.28661346435547,38,71085.88,33.59330749511719,22749.5,73.73112487792969,73976.836,26.30451393127441,23,72164.695,22.926437377929688,22789.012,71.80024719238281,71311.25,41.68880462646485,19,conv_mlp,True,False,False,False,16,0.003,48,96,256,8,8,8,12,11,64,11,0.2,layer,8,1024
2024-08-18 11:22,82096.305,15.068683624267578,88903.055,-1.4821559190750122,81395.53,3.050818681716919,3,88507.77,0.3801450431346893,82174.53,16.720582962036133,80905.53,5.12939977645874,1,80905.53,5.12939977645874,82174.53,16.720582962036133,88507.77,0.3801450431346893,1,none   ,True,False,True,True,16,0.005,48,64,128,8,16,16,12,11,64,11,0.1,batch,16,1024
2024-08-18 07:23,8348.342,91.21067810058594,75829.26,39.36469650268555,78378.56,18.58287811279297,48,75114.29,41.38138961791992,10999.226,89.57223510742188,76120.72,26.504371643066406,36,74508.6,29.109037399291992,15136.726,82.36206817626953,75218.26,43.95333862304688,26,full,True,False,True,False,16,0.005,16,64,128,32,16,8,12,5,128,11,0.2,layer,4,1024
2024-08-18 06:54,9429.44,89.98819732666016,76785.37,37.34919357299805,73358.98,18.910789489746094,36,74772.44,39.04300308227539,17096.408,83.08436584472656,73880.414,17.043872833251953,21,71571.5,24.103464126586918,10214.1045,89.78510284423828,76482.35,39.37845230102539,35,conv_mlp,True,False,True,True,16,0.001,16,64,128,16,8,16,8,11,64,9,0.2,batch,32,1024
2024-08-18 02:21,6074.4644,93.59994506835938,67351.48,48.41233444213867,80278.02,34.59436798095703,49,67042.04,49.03261184692383,6789.4326,92.85575103759766,80555.016,34.98152160644531,40,77785.71,34.58778762817383,14753.479,86.84867095947266,70444.875,49.36860656738281,23,full,True,False,True,True,16,0.0008,48,48,128,32,4,8,12,9,128,11,0.1,batch,4,1024
2024-08-18 11:15,16854.555,82.21011352539062,78911.12,29.853004455566406,78289.54,4.23595142364502,19,75975.96,37.44297409057617,38294.465,61.50058364868164,80796.52,14.334672927856444,6,71002.17,28.61278915405273,49975.598,48.447566986083984,77467.04,34.86139678955078,5,conv_mlp,True,False,False,False,16,0.001,48,48,256,16,16,4,8,5,64,9,0.1,layer,16,1024
2024-08-18 10:58,11567.781,88.10781860351562,75082.086,35.80138397216797,75160.98,23.187406539916992,34,73405.32,45.20833587646485,17410.889,82.88565063476562,76888.28,35.94190216064453,20,72691.94,26.12914657592773,12495.754,87.27178955078125,76393.44,36.78541564941406,33,none   ,True,False,True,False,16,0.0008,96,96,256,32,8,8,6,9,128,9,0.2,layer,32,1024
2024-08-18 01:47,20348.658,79.93363189697266,81328.96,44.36268615722656,74320.68,31.96014213562012,35,72583.35,29.226652145385746,35230.758,47.09947967529297,74531.07,9.904214859008787,33,74320.68,31.96014213562012,20348.658,79.93363189697266,81328.96,44.36268615722656,35,none   ,True,False,False,False,16,0.0008,96,64,128,16,16,8,12,11,128,9,0.1,layer,32,1024
2024-08-18 04:30,6663.078,92.92240142822266,70097.05,37.49771881103516,79811.89,26.82767868041992,48,69981.664,37.805789947509766,6665.9434,92.97174835205078,79837.52,27.134584426879883,49,77290.62,38.14708709716797,56274.824,57.550289154052734,77939.125,37.69367218017578,4,full,True,False,False,True,16,0.003,64,64,128,32,8,4,8,5,128,13,0.2,layer,4,1024
2024-08-18 07:36,8906.661,90.4880828857422,71766.484,43.88833618164063,79703.56,20.91591453552246,47,68599.99,47.65812301635742,13166.342,87.49067687988281,78226.52,21.52553367614746,32,78186.96,33.84120178222656,17468.037,84.5106430053711,73009.73,50.08113479614258,27,conv_mlp,True,False,False,True,16,0.003,16,96,128,64,16,8,12,11,64,9,0.1,batch,32,1024
2024-08-18 10:58,39912.324,61.28282928466797,89311.71,28.8843936920166,79574.96,34.047306060791016,13,89448.55,-3.836184501647949,82057.8,12.894600868225098,82062.54,0.4310888051986694,1,82062.54,0.4310888051986694,82057.8,12.894600868225098,89448.55,-3.836184501647949,1,none   ,True,False,True,True,16,0.005,96,96,128,64,16,4,8,9,128,9,0.2,batch,16,1024
2024-08-18 11:08,6679.0293,93.08824920654295,73330.58,41.88707733154297,74998.66,38.92077255249024,44,73042.734,37.19374847412109,12687.263,87.48873138427734,74564.6,29.15864562988281,24,72621.99,33.526336669921875,49870.145,58.82757186889648,75091.26,39.25505828857422,5,full,True,False,False,False,16,0.003,16,64,128,16,4,4,8,11,128,9,0.1,layer,32,1024
2024-08-18 15:53,17825.998,83.00689697265625,146054.62,7.748562812805176,71743.65,27.29696655273437,22,89578.81,-3.512489557266236,82098.09,13.1588134765625,81229.24,1.1354973316192627,1,71743.65,27.29696655273437,17825.998,83.00689697265625,146054.62,7.748562812805176,22,none   ,True,False,False,False,36,0.0008,64,64,256,16,4,8,4,11,128,9,0.1,layer,4,1024
