exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,val_custom_acc_for_best_train,test_rmse_for_best_train,test_custom_acc_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,train_custom_acc_for_best_val,test_rmse_for_best_val,test_custom_acc_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,train_custom_acc_for_best_test,val_rmse_for_best_test,val_custom_acc_for_best_test,test_epoch_for_best_test,scale_y,skip_mode,conv,mlp,use_pos,seq_len,lr,d,hid_d,last_d,tok_d,time_d,pos_d,e_layers,tok_conv_k,conv_out_d,feat_conv_k,dropout,norm_type,num_heads,bs
2024-08-19 14:12,11892.608,87.40029907226562,69545.63,44.727535247802734,75627.95,28.88029289245605,19,72804.8,41.8462142944336,29481.814,71.24720764160156,69926.75,38.23027038574219,6,69926.75,38.23027038574219,29481.814,71.24720764160156,72804.8,41.8462142944336,6,standard,full,True,False,False,8,0.0018,80,32,352,8,16,32,4,9,192,11,0.18,layer,4,1024
2024-08-19 08:58,7919.4834,92.30638885498048,77460.516,35.3332633972168,75643.52,30.705570220947266,33,76989.766,31.83455467224121,14172.679,85.55300903320312,74517.34,27.640830993652344,24,74517.34,27.640830993652344,14172.679,85.55300903320312,76989.766,31.83455467224121,24,standard,full,True,False,False,8,0.0136,112,28,160,4,20,16,4,11,192,9,0.18,batch,4,1024
2024-08-19 09:10,16086.757,83.22492980957031,74167.61,37.63760757446289,83778.27,28.48160171508789,18,70466.02,25.22977638244629,30693.895,68.56536865234375,85609.69,8.760320663452148,6,81773.195,-1.669442653656006,82045.3,14.051097869873049,89052.26,-11.177862167358398,1,standard,conv_mlp,True,False,True,8,0.007,112,40,288,4,24,20,4,9,64,9,0.18,batch,4,1024
2024-08-19 15:05,6078.2236,93.37873840332033,76743.16,26.55772018432617,72983.125,25.10498809814453,39,74112.48,28.01542282104492,11605.291,87.54327392578125,73424.85,29.610515594482425,25,71943.8,23.616456985473636,18228.713,82.00023651123047,95285.72,8.745050430297852,17,standard,full,True,False,True,8,0.0008,176,36,416,8,8,28,7,9,128,9,0.14,batch,4,1024
2024-08-19 11:53,6405.3984,92.71205139160156,73397.2,42.56972122192383,74305.47,27.23705101013184,39,71612.82,36.6933822631836,11103.015,86.69206237792969,73118.555,21.43305015563965,24,70045.45,35.429073333740234,27529.367,72.1106948852539,73248.84,45.635475158691406,6,standard,conv_mlp,True,True,False,8,0.0045,112,28,96,8,12,20,4,11,128,9,0.2,layer,4,1024
2024-08-19 11:59,14117.765,86.373046875,75122.06,41.96247482299805,73186.17,36.781532287597656,20,63645.703,45.58755874633789,28816.701,68.6695327758789,71501.34,38.843292236328125,6,71501.34,38.843292236328125,28816.701,68.6695327758789,63645.703,45.58755874633789,6,standard,conv_mlp,True,True,True,8,0.0037,144,28,224,8,8,24,5,11,128,9,0.18,layer,4,1024
2024-08-19 13:39,14025.952,84.62874603271484,88492.125,10.579532623291016,71709.16,31.64732360839844,19,88506.836,-8.368396759033203,82103.66,16.267108917236328,81122.336,1.1954247951507568,1,66353.2,34.12469482421875,39469.688,65.19173431396484,115861.62,5.161065101623535,7,standard,full,True,False,True,8,0.0034,112,24,224,8,12,24,3,9,64,11,0.18,layer,4,1024
2024-08-19 12:29,14510.173,84.77853393554688,80321.28,29.275131225585938,70638.22,32.72390365600586,19,87117.5,32.870113372802734,31964.648,67.36405944824219,76336.96,38.40856552124024,15,70638.22,32.72390365600586,14510.173,84.77853393554688,80321.28,29.275131225585938,19,standard,conv_mlp,True,False,True,8,0.0058,144,20,352,8,16,24,6,11,128,9,0.2,batch,4,1024
2024-08-19 08:51,11105.0205,89.2834701538086,80296.96,22.939760208129883,75394.445,21.182273864746094,23,72181.6,35.13700866699219,29638.092,68.90371704101562,82130.34,34.263431549072266,8,72304.04,24.71766471862793,17407.094,81.79934692382812,80122.55,24.075401306152344,14,standard,full,True,False,False,8,0.0026,112,36,160,4,16,8,4,11,128,9,0.18,layer,4,1024
2024-08-19 12:58,9267.685,90.21668243408205,76292.664,38.390380859375,78294.414,1.63305401802063,35,72727.83,35.672855377197266,12763.369,87.41328430175781,76041.33,4.529774188995361,25,71302.31,15.731138229370115,52823.94,47.51525115966797,114288.625,-8.027994155883789,5,standard,conv_mlp,True,False,False,8,0.001,112,28,416,8,8,24,2,11,64,9,0.16,layer,4,1024
2024-08-19 12:57,5226.01,94.29949951171876,70444.14,38.93169784545898,76039.05,27.925264358520508,40,67709.086,30.910968780517575,31748.791,75.22306060791016,80697.23,5.999821662902832,15,76138.3,22.17304039001465,10725.88,88.37736511230469,69644.95,39.78768539428711,24,standard,full,True,False,False,8,0.0012,208,20,224,8,4,28,6,11,128,9,0.18,layer,4,1024
2024-08-19 09:14,5954.5225,93.47442626953124,77891.31,30.58689308166504,73496.305,26.800447463989254,35,76951.55,29.524147033691406,6872.129,92.26224517822266,73228.34,25.015186309814453,31,70217.4,38.0546875,44978.613,65.27191162109375,83854.16,29.576271057128903,5,standard,full,True,False,True,8,0.0017,144,24,160,4,20,8,5,11,256,11,0.16,layer,4,1024
2024-08-19 10:27,9495.706,90.40623474121094,76851.016,28.462875366210938,76385.836,29.98604202270508,28,75695.58,25.72169303894043,10460.054,88.4319839477539,76630.09,24.31532096862793,25,77875.77,12.33555030822754,64139.863,52.44280242919922,105636.53,-17.237865447998047,10,standard,full,True,True,True,8,0.0016,144,20,224,8,24,16,6,9,128,9,0.16,batch,4,1024
