exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,val_custom_acc_for_best_train,test_rmse_for_best_train,test_custom_acc_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,train_custom_acc_for_best_val,test_rmse_for_best_val,test_custom_acc_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,train_custom_acc_for_best_test,val_rmse_for_best_test,val_custom_acc_for_best_test,test_epoch_for_best_test,vs,d,hd,ld,td,timed,pd,el,nh,cd,tck,fck,nt,sm,up,sl,mlp,ep,bs,lr,dp,wd
2024-08-22 08:29,10509.253,88.65664672851562,74080.7,29.025161743164062,77075.12,18.32821273803711,25,74524.61,27.69898223876953,27596.598,73.75718688964844,73096.46,33.30821228027344,11,73096.46,33.30821228027344,27596.598,73.75718688964844,74524.61,27.69898223876953,11,0.15,96,64,224,12,44,52,4,4,128,9,9,batch,none,False,8,True,60,512,0.0035,0.16,0.0022
2024-08-22 10:49,7395.0083,92.19052124023438,76082.1,36.34272766113281,75332.69,19.92164802551269,29,89270.61,-12.247526168823242,82032.5,13.197726249694824,82035.99,-2.767276763916016,1,72564.61,26.598203659057617,19296.305,82.02220916748047,79347.5,23.88547134399414,12,0.1,96,64,352,12,36,60,4,4,256,7,5,batch,none,True,8,True,40,256,0.0012,0.16,0.0015
2024-08-22 10:13,12403.664,85.87156677246094,77423.46,26.9589786529541,76096.64,21.49625968933105,18,85101.34,18.884843826293945,37310.312,66.0299301147461,83119.516,15.925371170043944,5,80083.945,18.859243392944336,16876.287,83.93309783935547,75188.39,33.97896957397461,17,0.25,96,64,224,12,48,44,4,4,192,7,9,batch,none,True,8,False,40,512,0.0037,0.18,0.001
2024-08-22 10:06,15181.961,83.70433044433594,75086.1,24.458158493041992,77384.43,14.77358341217041,20,78984.87,19.18452453613281,64235.684,38.18779754638672,75406.28,18.05887222290039,1,74856.21,19.41710662841797,21909.303,76.82989501953125,76456.79,29.47162437438965,15,0.2,96,64,288,12,40,52,4,4,256,5,9,batch,none,False,8,True,50,128,0.0035,0.16,0.0013
2024-08-22 08:28,14285.79,86.22634887695312,84600.89,23.691844940185547,83693.99,15.681171417236328,20,89490.016,-13.282012939453123,82031.05,12.369394302368164,82298.24,-3.8284659385681152,1,74686.67,3.960978984832764,37967.69,55.10440444946289,81007.21,28.538822174072266,5,0.15,96,64,352,12,24,36,5,4,192,7,5,batch,none,True,8,True,50,512,0.0032,0.16,0.0066
2024-08-22 11:35,11081.515,88.980712890625,76635.46,42.38826751708984,76962.35,22.653139114379883,25,77746.16,38.53313827514648,18015.842,81.17508697509766,80806.27,19.929759979248047,14,74488.57,31.13331794738769,42511.33,61.16072082519531,76021.945,29.12744903564453,8,0.25,96,64,288,12,28,48,3,4,128,11,5,batch,none,True,8,True,60,256,0.0014,0.16,0.0044
2024-08-22 11:00,12100.774,87.53731536865234,77628.44,29.013872146606445,77065.234,11.55242919921875,22,73975.17,43.15904235839844,24899.857,72.4410629272461,75656.14,21.342628479003903,8,75656.14,21.342628479003903,24899.857,72.4410629272461,73975.17,43.15904235839844,8,0.25,96,64,416,12,36,56,3,4,256,7,5,layer,none,False,8,False,50,1024,0.0023,0.14,0.001
2024-08-22 11:28,12234.529,87.00634002685547,97735.086,25.906139373779297,75216.71,32.131324768066406,21,89244.62,-12.120782852172852,82034.06,13.298731803894045,82004.47,-2.637052536010742,1,71944.12,23.78363609313965,27076.672,74.14740753173828,143745.55,-4.797637462615967,9,0.2,96,64,160,12,32,28,3,4,192,11,5,layer,none,False,8,False,50,1024,0.0009,0.16,0.0066
2024-08-22 11:24,8648.24,90.9542007446289,76189.805,37.75460815429688,73546.586,35.32630157470703,31,73001.09,37.71988296508789,20986.201,84.24388885498047,73779.33,28.653318405151367,19,72882.8,35.273624420166016,29280.158,68.74146270751953,71270.39,36.37945556640625,6,0.25,96,64,352,12,16,44,3,4,256,9,9,layer,none,True,8,True,50,256,0.0018,0.12,0.0031
2024-08-22 10:25,7614.44,91.7620849609375,75525.72,22.295076370239254,72705.29,15.742546081542969,32,72183.62,31.217205047607425,13306.799,84.940673828125,73279.6,15.987139701843262,18,72167.664,16.594589233398438,13309.932,85.25350952148438,75607.2,24.252241134643555,20,0.15,96,64,288,12,44,60,5,4,192,7,11,batch,none,False,8,True,40,1024,0.0042,0.16,0.0019
