exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,val_custom_acc_for_best_train,test_rmse_for_best_train,test_custom_acc_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,train_custom_acc_for_best_val,test_rmse_for_best_val,test_custom_acc_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,train_custom_acc_for_best_test,val_rmse_for_best_test,val_custom_acc_for_best_test,test_epoch_for_best_test,v_splt,y_ord,d,hd,ld,tok_d,time_d,pos_d,lyrs,n_heads,conv_d,tok_kern,feat_kern,norm_typ,skp_mod,use_pos_enc,seq_len,mlp_norm,ep,bs,lr,dp,w_decay
2024-08-23 10:30,11006.714767705966,88.51665496826172,71164.56028509332,38.50317001342773,72437.28873940623,23.84284782409668,29,72327.32998281751,43.05406188964844,40688.5942488662,63.58208465576172,73488.8472870162,26.041973114013672,8,67641.93524818528,35.55705642700195,37961.70246727642,63.49641036987305,72031.2045246455,44.8218879699707,7,0.2,1.0,64,64,64,8,16,32,4,4,64,7,11,layer,none,True,8,True,50,1024,0.003,0.16,0.0001
2024-08-23 09:24,14925.045823655071,82.86701965332031,79213.09570041743,29.27403450012207,74387.47884349796,29.954206466674805,28,80363.01711283573,39.54492950439453,27570.92422724597,68.28685760498047,78321.07835704659,29.03978157043457,14,76191.17356126565,36.13784790039063,13894.570657110566,84.04833984375,78700.66667825,32.74546432495117,27,0.2,1.14,64,64,64,8,16,32,8,4,64,7,11,layer,none,True,8,True,50,1024,0.0014,0.1,0.0001
2024-08-23 10:00,38643.456233182704,44.49905776977539,83180.53002732794,2.6744723320007324,76214.71162523204,6.74920654296875,14,113474.03011391294,-76.14875793457031,96613.92993145106,-41.21001815795898,108914.98932383716,-68.47810363769531,1,108914.98932383716,-68.47810363769531,96613.92993145106,-41.21001815795898,113474.03011391294,-76.14875793457031,1,0.2,3.56,64,64,64,8,16,32,3,4,64,7,11,layer,none,True,8,True,50,1024,0.0031,0.18,0.0001
2024-08-23 10:01,30512.87205823217,55.80739974975586,76939.03774756602,20.24915885925293,69393.75712961525,32.63701248168945,19,115221.7701905443,-79.59037780761719,98064.02110106606,-44.25788116455078,110802.09661285394,-72.0414047241211,1,110802.09661285394,-72.0414047241211,98064.02110106606,-44.25788116455078,115221.7701905443,-79.59037780761719,1,0.2,3.18,64,64,64,8,16,32,4,4,64,7,11,layer,none,True,8,True,50,1024,0.0042,0.22,0.0001
2024-08-23 10:01,27324.726009819347,63.19135284423828,78977.65469725004,23.911487579345703,74320.87304056456,25.616634368896484,20,113213.22572202374,-75.6332778930664,96408.95872135257,-40.77271270751953,108648.05578201552,-67.96981048583984,1,108648.05578201552,-67.96981048583984,96408.95872135257,-40.77271270751953,113213.22572202374,-75.6332778930664,1,0.2,3.0,64,64,64,8,16,32,4,4,64,7,11,layer,none,True,8,True,50,1024,0.0027,0.2,0.0001
2024-08-23 10:18,24380.60813662105,69.32835388183594,82806.01403042923,29.79658317565918,76577.15176362016,28.415620803833008,16,92343.50708012616,-24.563121795654297,82610.12648073219,3.1552016735076904,85638.5258633636,-15.421998977661133,1,85638.5258633636,-15.421998977661133,82610.12648073219,3.1552016735076904,92343.50708012616,-24.563121795654297,1,0.2,1.8,64,64,64,8,16,32,6,4,64,7,11,layer,none,True,8,True,50,1024,0.0023,0.2,0.0001
2024-08-23 10:55,8830.654463263136,88.71690368652344,71252.30834049593,32.36775207519531,70920.51408345952,18.64712905883789,44,69837.42228882898,30.15810203552246,15373.012761433316,83.4133529663086,71421.38874670056,14.743148803710938,31,67656.28923541088,30.581193923950195,22281.975922145182,72.62030792236328,73822.99846484246,35.93756484985352,21,0.2,1.56,64,64,64,8,16,32,4,4,64,7,11,layer,none,True,8,True,50,1024,0.0077,0.18,0.0001
2024-08-23 10:14,26333.47561027384,64.90637969970703,77408.22200417158,33.15216827392578,77354.59954548688,37.4656867980957,19,100439.30759728936,-47.68547821044922,86873.24098993554,-16.423856735229492,94750.89961664712,-39.21469497680664,1,94750.89961664712,-39.21469497680664,86873.24098993554,-16.423856735229492,100439.30759728936,-47.68547821044922,1,0.2,2.66,64,64,64,8,16,32,6,4,64,7,11,layer,none,True,8,True,50,1024,0.0032,0.22,0.0001
2024-08-23 10:10,18106.738203769943,73.78987884521484,75566.34697808982,21.479761123657227,75588.03626691265,22.64627265930176,45,99955.27969305104,-46.48406600952149,86561.48008398523,-15.39170742034912,94216.15604553113,-37.97997283935547,1,94216.15604553113,-37.97997283935547,86561.48008398523,-15.39170742034912,99955.27969305104,-46.48406600952149,1,0.2,2.24,64,64,64,8,16,32,7,4,64,7,11,layer,none,True,8,True,50,1024,0.0036,0.22,0.0001
2024-08-23 09:51,26385.11511280307,60.56707000732422,91135.3162727894,11.874187469482422,68346.32840044303,33.81768035888672,21,109537.4192015791,-68.15264129638672,93468.38248044436,-34.20726013183594,104689.22020913474,-60.27532958984375,1,104689.22020913474,-60.27532958984375,93468.38248044436,-34.20726013183594,109537.4192015791,-68.15264129638672,1,0.2,2.7,64,64,64,8,16,32,4,4,64,7,11,layer,none,True,8,True,50,1024,0.0038,0.2,0.0001
2024-08-23 11:17,8619.554539944214,89.0428695678711,70362.22358667772,28.805219650268555,75643.8344042945,16.74361801147461,46,69229.08831363432,33.340877532958984,19682.01308863036,77.19534301757812,69645.67193181964,30.209423065185547,19,69645.67193181964,30.209423065185547,19682.01308863036,77.19534301757812,69229.08831363432,33.340877532958984,19,0.2,1.44,64,64,64,8,16,32,5,4,64,7,11,layer,none,True,8,True,50,1024,0.0078,0.18,0.0001
2024-08-23 13:15,10539.944381725329,87.3794174194336,69501.76814523134,39.23664093017578,72247.64618731117,24.497652053833008,32,68357.71527851294,33.02768325805664,18308.53985544618,81.56314849853516,71838.99678846322,16.78437614440918,30,71072.39410549946,21.591537475585938,12491.426765096052,85.05338287353516,69784.45856487521,37.53546905517578,28,0.2,1.12,64,64,64,8,16,32,5,4,64,7,11,layer,none,True,8,True,50,1024,0.0058,0.14,0.0001
2024-08-23 09:58,24548.294001323942,65.86439514160156,75845.32341809012,22.70331382751465,68618.6557696866,23.645627975463867,19,107432.33905604178,-63.701202392578125,91843.69821529512,-30.316198348999023,102409.64746964362,-55.69720458984375,1,68428.91989757222,15.549982070922852,27461.620522432517,63.17334747314453,76941.46316403936,19.019567489624023,17,0.2,2.52,64,64,64,8,16,32,4,4,64,7,11,layer,none,True,8,True,50,1024,0.0018,0.18,0.0001
2024-08-23 11:12,18873.19214025049,82.0857925415039,72098.93696349909,42.04369735717773,79165.64945226275,31.275415420532227,18,72098.93696349909,42.04369735717773,18873.19214025049,82.0857925415039,79165.64945226275,31.275415420532227,18,77731.13412383638,20.875120162963867,27205.511892595103,69.10627746582031,81404.31704995275,30.960708618164062,20,0.2,1.1,64,64,64,8,16,32,5,4,64,7,11,layer,none,True,8,True,50,1024,0.0051,0.18,0.0001
2024-08-23 12:09,8271.145637818048,91.5507583618164,73501.6009374646,33.38475799560547,67536.87801003768,33.23081588745117,35,71002.32099958083,40.7305908203125,16168.932487256152,83.31324768066406,70056.71764484012,32.58760452270508,20,65612.54505314612,33.72114181518555,9648.979240453871,88.98206329345703,72738.48784522086,33.91565704345703,34,0.2,0.82,64,64,64,8,16,32,4,4,64,7,11,layer,none,True,8,True,50,1024,0.0048,0.14,0.0001
2024-08-23 13:01,12592.963585915708,84.85560607910156,71652.35972437727,38.685768127441406,70234.59910551514,33.554779052734375,36,79893.07630459558,37.35093307495117,18214.45020383647,77.5808334350586,71065.82268498845,37.4167366027832,23,68181.69584876222,34.9200553894043,24271.84600218543,66.82450866699219,72574.55803584255,32.689701080322266,21,0.2,1.56,64,64,64,8,16,32,7,4,64,7,11,layer,none,True,8,True,50,1024,0.0036,0.2,0.0001
2024-08-23 11:31,22696.55942182848,74.31786346435547,80970.81018631352,34.64133071899414,69482.73786779479,26.929182052612305,21,98964.58443503396,-43.973289489746094,85939.10005473641,-13.23692798614502,93116.53130484148,-35.39576721191406,1,70067.65286598833,28.3503532409668,22840.78098458049,70.69093322753906,74916.73373640454,36.08257293701172,18,0.2,1.82,64,64,64,8,16,32,5,4,64,7,11,layer,none,True,8,True,50,1024,0.004,0.2,0.0001
2024-08-23 13:22,9762.837263698764,89.44557189941406,74825.5904297824,32.23204803466797,71060.63569322856,19.27696990966797,33,70717.69073739322,23.46493530273437,21744.30232622165,74.02062225341797,72909.78014022938,4.089593887329102,20,68227.87199899441,23.480945587158203,19287.40242883131,81.67597198486328,72034.54489200842,33.644981384277344,18,0.2,1.08,64,64,64,8,16,32,6,4,64,7,11,layer,none,True,8,True,50,1024,0.0032,0.16,0.0001
2024-08-23 12:21,12608.072632693184,86.78282165527344,75601.47444273096,36.17755889892578,72748.20321774506,34.04481506347656,24,83255.49176719507,4.824179649353027,57459.47302881609,39.20123672485352,90054.7530598734,-10.363542556762695,8,69835.11268543694,38.35393905639648,31220.88304891165,64.4267578125,74191.66350466643,37.605743408203125,7,0.2,1.14,64,64,64,8,16,32,5,4,64,7,11,layer,none,True,8,True,50,1024,0.004,0.2,0.0001
2024-08-23 11:21,12433.180751066766,84.9825668334961,77942.1685185771,37.419734954833984,72495.33609522985,29.194486618041992,32,95139.23907616312,-33.47147750854492,83796.1785196438,-4.300892353057861,88828.75036938778,-24.587081909179688,1,71112.01345124352,21.124887466430664,14944.128792746078,80.07779693603516,75746.59541795564,32.06172180175781,30,0.2,1.5,64,64,64,8,16,32,5,4,64,7,11,layer,none,True,8,True,50,1024,0.0059,0.2,0.0001
2024-08-23 09:45,22619.758397356007,70.4057846069336,90885.1480800494,13.446563720703123,76922.4458034282,19.865781784057617,19,100741.49347644036,-48.43549728393555,87075.66194911813,-17.08359718322754,95094.5663724946,-40.00275039672852,1,95094.5663724946,-40.00275039672852,87075.66194911813,-17.08359718322754,100741.49347644036,-48.43549728393555,1,0.2,2.38,64,64,64,8,16,32,3,4,64,7,11,layer,none,True,8,True,50,1024,0.0034,0.16,0.0001
2024-08-23 09:29,36739.49537091266,58.44585800170898,80857.29918867078,31.46992301940918,78767.96050820824,12.984901428222656,18,100084.30263205398,-46.82719802856445,86657.61976094576,-15.725183486938477,94385.1663128908,-38.377201080322266,1,94385.1663128908,-38.377201080322266,86657.61976094576,-15.725183486938477,100084.30263205398,-46.82719802856445,1,0.2,2.62,64,64,64,8,16,32,6,4,64,7,11,layer,none,True,8,True,50,1024,0.0046,0.18,0.0001
2024-08-23 10:30,13528.55302616031,83.96511840820312,70630.19778388551,38.33819580078125,72546.70966247916,29.385971069335938,26,77410.91317208817,17.891132354736328,34576.33302148061,61.49847412109375,71668.47783189382,23.354631423950195,12,70930.13622647618,30.634313583374023,18864.952181385608,78.87683868408203,70839.45554403414,37.02585220336914,18,0.2,1.58,64,64,64,8,16,32,4,4,64,7,11,layer,none,True,8,True,50,1024,0.0024,0.16,0.0001
2024-08-23 11:27,9297.742585029588,88.05287170410156,76801.29246755815,26.93841552734375,70377.06500097475,23.96944236755371,44,95814.15550553954,-35.43780899047852,84138.44757593125,-5.9630632400512695,89590.83179364212,-26.61074447631836,1,69906.77574537284,32.03260803222656,16018.42840289072,82.55680084228516,79274.40664303908,28.7134952545166,32,0.2,1.56,64,64,64,8,16,32,5,4,64,7,11,layer,none,True,8,True,50,1024,0.0068,0.2,0.0001
2024-08-23 09:44,24692.69645970924,66.31797790527344,75455.05394021692,23.552614212036133,71351.4276852232,29.592334747314453,20,108472.829804792,-65.9291763305664,92659.2308848673,-32.301700592041016,103564.07047760364,-58.03315734863281,1,72150.73000109334,43.26692199707031,27526.44455806933,66.4201889038086,73265.55592324109,30.929035186767575,16,0.2,2.62,64,64,64,8,16,32,4,4,64,7,11,layer,none,True,8,True,50,1024,0.0039,0.18,0.0001
2024-08-23 12:59,13321.596683324376,87.51087188720703,76472.75547215766,36.929012298583984,70770.35245976296,36.61530685424805,27,73619.06800412635,40.35535430908203,48538.40145269016,58.5967903137207,73795.25022408096,20.03642845153809,13,72169.64798502799,37.85140609741211,13541.270457748547,87.18190002441406,79380.68274076522,34.14752578735352,26,0.2,0.7,64,64,64,8,16,32,7,4,64,7,11,layer,none,True,8,True,50,1024,0.002,0.12,0.0001
2024-08-23 11:18,12242.698388960884,84.3852310180664,73532.506620665,36.36700439453125,71578.77472607186,27.62264633178711,38,75841.47645561463,32.98817825317383,19986.504129666915,74.48963928222656,74890.73331342329,23.63523292541504,30,68395.88818505748,38.6611213684082,24868.099445894204,70.48078155517578,74090.19929480275,39.97203063964844,18,0.2,1.62,64,64,64,8,16,32,5,4,64,7,11,layer,none,True,8,True,50,1024,0.0053,0.22,0.0001
2024-08-23 10:59,19903.648513558208,75.88909912109375,81929.78466781834,7.432765007019043,74035.67187321052,5.564522743225098,21,98579.33954948212,-42.97766876220703,85703.53734766961,-12.383747100830078,92687.87518850635,-34.37068557739258,1,73654.31975083466,9.117401123046877,25413.90065609088,71.66136169433594,79624.14776230851,13.640910148620604,17,0.2,1.82,64,64,64,8,16,32,4,4,64,7,11,layer,none,True,8,True,50,1024,0.0047,0.2,0.0001
2024-08-23 09:35,7344.949230790656,91.34249877929688,72263.28001061278,36.55937957763672,75325.93715464056,35.2249870300293,43,71309.97079136287,39.28002548217773,10226.127658129,88.38257598876953,75908.48160337331,38.371341705322266,33,73936.04690714274,20.054101943969727,33707.08690445969,66.64476013183594,79771.21590826912,20.1218376159668,8,0.2,1.2,64,64,64,8,16,32,3,4,64,7,11,layer,none,True,8,True,50,1024,0.0034,0.22,0.0001
2024-08-23 13:45,6927.6722170858975,92.88214111328124,67875.85036223088,44.74881362915039,72911.72605300459,33.56220626831055,42,64974.96148653223,30.327320098876957,24266.62345235034,76.4163818359375,78931.96897947915,12.727933883666992,15,71835.18306581776,34.772705078125,8338.733242868228,92.1800765991211,67039.49537566041,44.19407272338867,37,0.2,0.74,64,64,64,8,16,32,5,4,64,7,11,layer,none,True,8,True,50,1024,0.0026,0.16,0.0001
2024-08-23 09:42,29868.716856177936,57.71572113037109,86663.48868195259,24.00369644165039,77162.65953222079,32.62385177612305,16,103310.8667128572,-54.5511589050293,88836.6180020242,-22.394216537475582,97940.14021342216,-46.32642364501953,1,97940.14021342216,-46.32642364501953,88836.6180020242,-22.394216537475582,103310.8667128572,-54.5511589050293,1,0.2,2.62,64,64,64,8,16,32,3,4,64,7,11,layer,none,True,8,True,50,1024,0.0028,0.14,0.0001
2024-08-23 11:40,10778.220665418428,88.04261016845703,75267.48893819781,33.04896926879883,70753.75017699321,39.40212631225586,37,71606.66274726334,31.612794876098636,19771.91320784531,80.79651641845703,69655.76220357513,34.00785446166992,24,70245.79684102884,35.485923767089844,15503.352057761558,81.73762512207031,73438.57534616621,35.56999588012695,25,0.2,1.1,64,64,64,8,16,32,6,4,64,7,11,layer,none,True,8,True,50,1024,0.006,0.2,0.0001
2024-08-23 11:58,9453.481190360231,88.46353912353516,78213.47378515979,35.5407829284668,71557.70709002957,41.87921905517578,38,73134.69633249918,29.567068099975582,18719.1923140904,75.18336486816406,67710.18943172703,32.577884674072266,25,70744.02864559954,38.80427551269531,16356.823633194048,82.4869155883789,79022.62892364014,35.75754928588867,26,0.2,1.5,64,64,64,8,16,32,4,4,64,7,11,layer,none,True,8,True,50,1024,0.0053,0.18,0.0001
2024-08-23 09:56,33053.05708393325,58.485084533691406,81673.85791171518,25.84241104125977,74487.25809906487,32.14552307128906,15,109601.17477766686,-68.31775665283203,93579.62935117028,-34.47821044921875,104843.04421903333,-60.58747863769531,1,104843.04421903333,-60.58747863769531,93579.62935117028,-34.47821044921875,109601.17477766686,-68.31775665283203,1,0.2,3.2,64,64,64,8,16,32,3,4,64,7,11,layer,none,True,8,True,50,1024,0.0041,0.18,0.0001
2024-08-23 11:53,9131.020083348036,89.1561508178711,74913.24484924415,38.61367034912109,72511.47440718215,32.083106994628906,40,77885.85297783528,38.65200424194336,13045.578970397682,86.52098083496094,71464.7503786518,35.24032211303711,28,69750.06987590762,41.45781326293945,15397.700735094068,82.21467590332031,74993.20964962665,44.369239807128906,24,0.2,1.24,64,64,64,8,16,32,5,4,64,7,11,layer,none,True,8,True,50,1024,0.0054,0.18,0.0001
2024-08-23 09:50,26699.496555760197,65.50956726074219,79565.90474647257,17.35805320739746,71781.21001926727,24.18581771850586,20,111251.62201157057,-71.68382263183594,94825.89313776624,-37.30498504638672,106540.72381777964,-63.91107940673828,1,83798.19152843255,29.449695587158203,40475.8012148671,51.13935470581055,81601.72372403136,31.01639747619629,15,0.2,2.86,64,64,64,8,16,32,4,4,64,7,11,layer,none,True,8,True,50,1024,0.0058,0.18,0.0001
2024-08-23 09:27,23526.5170859676,72.12748718261719,85028.73375358747,41.21862030029297,69168.5455392727,43.71121597290039,19,92650.44073208392,-25.61674118041992,82718.17058120061,2.28041410446167,85992.30414681471,-16.506397247314453,1,65871.96812138145,42.76408004760742,25048.10684600314,65.89537048339844,77881.39954567785,38.56633377075195,20,0.2,1.84,64,64,64,8,16,32,6,4,64,7,11,layer,none,True,8,True,50,1024,0.0018,0.22,0.0001
2024-08-23 10:05,7062.08757582371,92.1084976196289,74079.55562258419,39.7659912109375,73150.05221089757,29.224729537963867,43,72004.01591972208,40.73991012573242,8666.704217411578,90.40022277832033,73249.12447088407,28.614843368530277,35,72920.34684911158,19.29483985900879,41565.91556700972,48.17465972900391,75581.9836244378,22.243959426879883,7,0.2,1.06,64,64,64,8,16,32,5,4,64,7,11,layer,none,True,8,True,50,1024,0.0033,0.2,0.0001
2024-08-23 12:33,8523.109840889807,91.04998016357422,73414.44952715677,41.80699157714844,71539.35817727864,34.7188720703125,38,72007.28674203393,41.82430648803711,14681.127879283502,83.46562194824219,68841.88737918541,38.0727653503418,24,70541.96581954112,30.776613235473636,15048.385566805706,82.45891571044922,70166.27206703488,37.44667053222656,23,0.2,1.1,64,64,64,8,16,32,3,4,64,7,11,layer,none,True,8,True,50,1024,0.0076,0.1,0.0001
2024-08-23 09:38,25041.751500899118,66.98133087158203,75098.92042754825,23.730457305908203,70437.30789041176,27.79342460632324,18,110310.04296917058,-69.76566314697266,94100.43510862216,-35.669944763183594,105556.71963953122,-61.990081787109375,1,105556.71963953122,-61.990081787109375,94100.43510862216,-35.669944763183594,110310.04296917058,-69.76566314697266,1,0.2,2.76,64,64,64,8,16,32,4,4,64,7,11,layer,none,True,8,True,50,1024,0.0032,0.16,0.0001
2024-08-23 13:55,10021.133206532248,89.21623992919922,75436.5248553312,40.78403091430664,73842.08323977086,35.5168571472168,41,72081.41501451441,40.34001159667969,16396.206031690148,81.11167907714844,71801.54701434365,33.6512336730957,26,73188.36723545028,31.61665725708008,17621.181877809617,82.41980743408203,73901.08249212599,39.94276428222656,24,0.2,1.16,64,64,64,8,16,32,6,4,64,7,11,layer,none,True,8,True,50,1024,0.0029,0.18,0.0001
2024-08-23 10:00,28221.834852446,64.60819244384766,71305.50850716722,33.98373031616211,77112.64209852848,17.915456771850586,15,107413.72820678548,-63.66584396362305,91835.7080937449,-30.297969818115234,102398.55920461372,-55.67568588256836,1,73356.46721821013,21.56179618835449,32495.82181407739,51.75476837158203,76311.16573818085,18.989294052124023,18,0.2,2.5,64,64,64,8,16,32,5,4,64,7,11,layer,none,True,8,True,50,1024,0.0022,0.14,0.0001
2024-08-23 10:12,9632.917465821532,87.3349609375,74256.74776482295,31.339370727539062,73779.61470420635,25.80220031738281,41,95655.51719380014,-34.981597900390625,84056.44384176083,-5.576801300048828,89412.1012465975,-26.14105987548828,1,74802.2033575751,37.31600570678711,21984.625038913604,77.82967376708984,76207.8359002829,33.66748046875,19,0.2,1.58,64,64,64,8,16,32,4,4,64,7,11,layer,none,True,8,True,50,1024,0.0063,0.18,0.0001
