exp_date,train_rmse,train_custom_acc,val_rmse_for_best_train,val_custom_acc_for_best_train,test_rmse_for_best_train,test_custom_acc_for_best_train,train_epoch_for_best_train,val_rmse,val_custom_acc,train_rmse_for_best_val,train_custom_acc_for_best_val,test_rmse_for_best_val,test_custom_acc_for_best_val,val_epoch_for_best_val,test_rmse,test_custom_acc,train_rmse_for_best_test,train_custom_acc_for_best_test,val_rmse_for_best_test,val_custom_acc_for_best_test,test_epoch_for_best_test,v_splt,y_ord,d,hd,ld,tok_d,time_d,pos_d,lyrs,n_heads,conv_d,tok_kern,feat_kern,norm_typ,skp_mod,use_pos_enc,seq_len,mlp_norm,ep,bs,lr,dp,w_decay
2024-08-25 02:59,23645.438504026868,72.10775756835938,95685.76303677289,7.616239547729492,82915.55929332046,35.03139114379883,20,93600.767413992,-28.74538803100586,83090.82798452975,-0.3282904624938965,87080.64297740451,-19.72392845153809,1,87080.64297740451,-19.72392845153809,83090.82798452975,-0.3282904624938965,93600.767413992,-28.74538803100586,1,0.2,1.44,256,128,256,8,16,32,8,4,960,7,7,batch,none,True,8,True,50,1024,0.0027,0.16,0.0001
2024-08-25 03:01,11912.82412943578,84.6427001953125,77098.53980131134,32.54930877685547,78347.7011763834,28.5766544342041,41,70278.59623902559,28.94868278503418,30801.644540579076,63.78192901611328,72532.33220436977,16.681396484375,27,69383.57179517778,36.94625473022461,22278.538429684064,74.10191345214844,77163.88263597323,30.421287536621094,23,0.2,1.44,256,128,256,8,16,32,8,4,768,7,7,batch,none,True,8,True,50,1024,0.0027,0.16,0.0001
2024-08-25 06:36,8731.209609814437,88.88641357421875,70386.4277506941,35.24530029296875,70777.70285452805,28.423250198364254,48,70386.4277506941,35.24530029296875,8731.209609814437,88.88641357421875,70777.70285452805,28.423250198364254,48,70768.23032725524,30.00730323791504,10061.58570682313,87.6211166381836,72111.02253161409,34.10169982910156,39,0.2,1.44,256,128,256,8,16,32,8,4,832,7,7,batch,none,True,8,True,50,1024,0.001,0.16,0.0001
2024-08-25 03:43,9979.90835321954,87.33892822265625,67589.56543963995,41.54874801635742,74305.32238018648,30.47674369812012,48,67393.26555794147,41.81074523925781,10023.635049137014,87.44206237792969,74063.06346552183,30.481136322021484,45,82296.3528554225,34.39217758178711,23370.53367022765,72.27921295166016,75709.15373060251,44.13160705566406,19,0.2,1.44,256,128,256,8,16,32,8,4,832,7,7,batch,none,True,8,True,50,1024,0.001,0.16,0.0001
2024-08-25 06:37,8363.39802110769,89.06488800048828,76090.07072374159,34.62578582763672,73425.43535486293,31.81988525390625,49,93631.96905822052,-28.84501266479492,83103.96133194558,-0.4120469093322754,87116.26639967016,-19.82659149169922,1,71775.21847320847,31.663972854614254,20152.17455319558,82.02587127685547,76664.70773706271,35.56199645996094,26,0.2,1.44,256,128,256,8,16,32,8,4,960,7,7,batch,none,True,8,True,50,1024,0.0021,0.16,0.0001
2024-08-25 03:28,12391.856713113331,83.77711486816406,75750.61240251725,33.753662109375,74197.06780312746,27.27975845336914,39,73406.46014058276,28.74298667907715,26952.90017109681,61.33366775512695,67665.63357822783,26.993959426879883,25,69992.02185802153,18.75564956665039,32196.06816719767,49.93826675415039,76344.61740178919,17.217111587524414,26,0.2,1.44,256,128,256,8,16,32,8,4,704,7,7,layer,none,True,8,True,50,1024,0.0027,0.16,0.0001
2024-08-25 05:15,10723.443331590131,87.20816040039062,74530.77439438159,30.268150329589844,77228.75594894662,24.22177124023437,34,76160.4741196183,31.355112075805664,18574.86345932134,80.5699234008789,75743.72047136285,29.36486053466797,20,73673.12934767525,15.99544906616211,30192.52223591545,58.47835540771485,72025.30602641105,22.846681594848636,19,0.2,1.44,256,128,256,8,16,32,8,4,832,7,7,batch,none,True,8,True,50,1024,0.0018,0.16,0.0001
2024-08-25 05:56,7917.313359039493,90.19668579101562,73891.44544805035,27.575439453125,71683.8740674161,26.63790512084961,50,73300.62548367826,27.58083915710449,10318.177637431552,87.37757873535156,71181.64576472425,25.928556442260746,33,67762.21263100165,40.73481750488281,25653.309257732188,71.11856079101562,75959.67709032072,34.87485122680664,15,0.2,1.44,256,128,256,8,16,32,8,4,832,7,7,batch,none,True,8,True,50,1024,0.0018,0.16,0.0001
2024-08-25 05:00,12133.727795155295,85.53544616699219,77679.77661645235,36.64574432373047,72979.98097625832,35.02001190185547,31,81261.06640687218,35.837982177734375,20128.438890727502,78.2458724975586,76092.02204115753,36.53713607788086,19,70172.78776002809,33.6850471496582,17133.562374864738,78.74470520019531,73306.95020223761,37.65967559814453,21,0.2,1.44,256,128,256,8,16,32,8,4,832,7,7,batch,none,True,8,True,50,1024,0.0018,0.16,0.0001
2024-08-25 03:30,22908.538220212184,73.3631591796875,82761.32841730666,45.85956954956055,80521.35511297459,35.127437591552734,22,91643.56134688764,-14.34055519104004,78476.62725871376,2.075856924057007,82526.79096028216,-14.467679977416992,12,81366.4089969573,48.23027420043945,55841.02647400336,64.21186065673828,88072.19248325788,46.47789764404297,15,0.2,1.44,256,128,256,8,16,32,8,4,832,7,7,batch,none,True,8,True,50,1024,0.0018,0.16,0.0001
2024-08-25 05:03,11437.521624798,86.12140655517578,77811.35905931449,31.943458557128903,71004.35434772751,30.49327087402344,43,94211.01268323245,-30.66495704650879,83356.99829838455,-1.9377589225769043,87776.04485518811,-21.69928550720215,1,67534.90731316125,28.894620895385746,30704.16734607354,60.662696838378906,77437.63032753787,23.634672164916992,23,0.2,1.44,256,128,256,8,16,32,8,4,832,7,7,batch,none,True,8,True,50,1024,0.0018,0.16,0.0001
2024-08-25 06:53,8898.396168417326,89.31541442871094,74273.06062672276,34.667049407958984,70335.9960588841,34.89272689819336,38,72538.6332653205,34.62339782714844,14407.139000216352,82.07254791259766,67700.87190759295,29.569149017333984,24,67700.87190759295,29.569149017333984,14407.139000216352,82.07254791259766,72538.6332653205,34.62339782714844,24,0.2,1.44,256,128,256,8,16,32,8,4,832,7,7,batch,none,True,8,True,50,1024,0.0018,0.16,0.0001
2024-08-25 04:39,8227.009697324425,89.95092010498047,72618.29687355745,30.924427032470703,76323.2345246679,24.905681610107425,47,71256.73772701324,36.649681091308594,16108.928166615491,82.71891021728516,73436.48162046335,31.85968971252441,24,70562.90471200076,31.442523956298828,16686.785461320353,80.17713165283203,74134.27907399768,31.23756599426269,25,0.2,1.44,256,128,256,8,16,32,8,4,832,7,7,batch,none,True,8,True,50,1024,0.0018,0.16,0.0001
2024-08-25 06:28,16236.124002049308,79.39578247070312,77887.67327607972,33.79774856567383,80419.96150026307,30.485809326171875,36,78112.0856731922,28.167701721191406,54805.75055521223,48.54230117797852,70975.80755284659,33.03347396850586,22,70975.80755284659,33.03347396850586,54805.75055521223,48.54230117797852,78112.0856731922,28.167701721191406,22,0.2,1.44,256,128,256,8,16,32,8,4,832,7,7,batch,none,True,8,True,50,1024,0.0018,0.16,0.0001
2024-08-25 05:54,10842.023926877431,86.79884338378906,71175.04836623833,26.355796813964844,76283.00909035026,21.175216674804688,35,71089.8424600846,30.51980209350586,20062.534464427416,76.8519515991211,81409.66662561393,22.740131378173828,23,75342.23220235223,13.232988357543944,22953.20479238456,66.75759887695312,75240.76165140816,12.807422637939451,25,0.2,1.44,256,128,256,8,16,32,8,4,832,7,7,batch,none,True,8,True,50,1024,0.0018,0.16,0.0001
2024-08-25 06:20,11566.113194074893,86.306396484375,72854.78492186904,41.95006942749024,75855.76091818155,23.42539405822754,39,70584.61597987551,40.262351989746094,17448.31331092262,78.75279998779297,74093.2616446552,22.56513786315918,27,75863.712814224,43.73647689819336,25859.11475778072,76.80403137207031,73726.30118731591,48.7525749206543,22,0.2,1.44,256,128,256,8,16,32,8,4,896,7,7,batch,none,True,8,True,50,1024,0.001,0.16,0.0001
2024-08-25 06:26,10083.533761047716,88.01656341552734,75275.40262011594,43.52021789550781,70877.15348803786,34.26646041870117,37,92473.95205613835,-25.01308822631836,82655.21156228181,2.7823448181152344,85788.75314281281,-15.884757041931152,1,72187.51600598995,29.50107955932617,14430.300934962432,83.15557098388672,73018.22613135153,40.56153869628906,26,0.2,1.44,256,128,256,8,16,32,8,4,896,7,7,batch,none,True,8,True,50,1024,0.001,0.16,0.0001
2024-08-25 03:54,32355.61830630937,67.36347961425781,90374.4807627907,20.43169212341309,76245.64362158728,30.25177764892578,16,92489.69251761783,-25.067174911499023,82660.73388334257,2.737247943878174,85806.87682031014,-15.94041633605957,1,85806.87682031014,-15.94041633605957,82660.73388334257,2.737247943878174,92489.69251761783,-25.067174911499023,1,0.2,1.44,256,128,256,8,16,32,8,4,896,7,7,batch,none,True,8,True,50,1024,0.001,0.16,0.0001
2024-08-25 06:45,67943.82664157655,-2.705228328704834,99271.87263500804,-39.753639221191406,87962.39479797131,-23.65855026245117,23,92502.3340554682,-25.11066246032715,82665.18151139407,2.7012646198272705,85821.43066308797,-15.98503589630127,1,85821.43066308797,-15.98503589630127,82665.18151139407,2.7012646198272705,92502.3340554682,-25.11066246032715,1,0.2,1.44,256,128,256,8,16,32,8,4,896,7,7,batch,none,True,8,True,50,1024,0.001,0.16,0.0001
2024-08-25 06:22,28348.49061282365,68.42859649658203,84338.27730261507,20.72250747680664,71164.1494635776,34.94554901123047,16,93608.87634370504,-28.77117347717285,83094.2360644946,-0.3499865531921386,87089.90181239505,-19.75083351135254,1,87089.90181239505,-19.75083351135254,83094.2360644946,-0.3499865531921386,93608.87634370504,-28.77117347717285,1,0.2,1.44,256,128,256,8,16,32,8,4,1024,7,7,layer,none,True,8,True,50,1024,0.001,0.16,0.0001
2024-08-25 03:47,8140.488835931997,89.8421630859375,68542.73680035767,36.28519821166992,76526.00445743042,19.91291046142578,50,68500.90180042225,36.03482818603516,8921.86031696771,88.28518676757812,75921.63042923583,20.27510452270508,45,85201.68241561987,30.136268615722656,38826.342851135785,55.9559326171875,86849.30357751153,28.214717864990234,17,0.2,1.44,256,128,256,8,16,32,8,4,1024,7,7,layer,none,True,8,True,50,1024,0.001,0.16,0.0001
2024-08-25 04:18,7830.022272405792,90.39537811279295,72248.3324862067,36.5950813293457,71655.73439687578,25.27098655700684,47,71864.21000236267,34.68384552001953,12044.459673320687,82.96953582763672,70354.35194095447,22.940223693847656,38,67668.48839742925,21.14912796020508,21486.25445728548,68.68854522705078,74172.89875558292,24.535919189453125,21,0.2,1.44,256,128,256,8,16,32,8,4,1024,7,7,layer,none,True,8,True,50,1024,0.001,0.16,0.0001
2024-08-25 05:08,8312.424583929178,89.87645721435547,71115.85265960796,33.243526458740234,72168.20899315739,25.216066360473636,45,71626.94310355108,27.82042694091797,17301.917363044624,82.78565979003906,72174.91703083346,22.836261749267575,31,70818.37538170844,25.208532333374023,21440.011290641534,76.64378356933594,71768.92147521376,33.14592742919922,24,0.2,1.44,256,128,256,8,16,32,8,4,768,7,7,layer,none,True,8,True,50,1024,0.0019,0.16,0.0001
2024-08-25 05:51,11590.661239091763,84.5063705444336,76140.3886336762,40.5742301940918,70272.04616923678,30.66656494140625,37,76323.77061340598,41.36027145385742,19468.292831196995,77.64102172851562,72819.95160981647,33.4833984375,26,72819.95160981647,33.4833984375,19468.292831196995,77.64102172851562,76323.77061340598,41.36027145385742,26,0.2,1.44,256,128,256,8,16,32,8,4,768,7,7,layer,none,True,8,True,50,1024,0.0019,0.16,0.0001
2024-08-25 03:52,12718.356274231162,85.26724243164062,77585.42675286943,24.640512466430664,71047.00603403473,29.242414474487305,32,75005.33541643285,40.765716552734375,29211.660129594336,70.62741088867188,71632.29736385423,44.75454711914063,16,69712.9089799317,29.619312286376957,19011.729489727102,77.44503021240234,73034.84017935715,27.759504318237305,27,0.2,1.44,256,128,256,8,16,32,8,4,640,7,7,batch,none,True,8,True,50,1024,0.0012,0.16,0.0001
